TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T14:26:01.124651;01;;1;Run Clicked;6,10,15,18;n,i,e,r;;;;
2017-09-26T14:26:01.176362;01;2;2;Sequence Generated;6,10,15,18;Flock North->Flocking->Flock East->Rendezvous;100000.000000;INVALID;INCOMPLETE;
2017-09-26T14:26:10.250073;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:26:12.522022;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:26:17.918699;01;;2;Submit Clicked;7,12,17,20;n,i,e,r;;;;
2017-09-26T14:26:19.276418;01;;2;Submit Clicked;7,12,17,20;n,i,e,r;;;;
2017-09-26T14:26:19.276768;01;;2;Run Clicked;7,12,17,20;n,i,e,r;;;;
2017-09-26T14:26:19.319101;01;2;3;Sequence Generated;7,12,17,20;Flock North->Flocking->Flock East->Rendezvous;564.140869;VALID;INCOMPLETE;
2017-09-26T14:26:25.657827;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:26:29.933845;01;;3;Submit Clicked;7,12,15,18;n,i,e,r;;;;
2017-09-26T14:26:31.044451;01;;3;Submit Clicked;7,12,15,18;n,i,e,r;;;;
2017-09-26T14:26:31.044763;01;;3;Run Clicked;7,12,15,18;n,i,e,r;;;;
2017-09-26T14:26:31.097060;01;2;4;Sequence Generated;7,12,15,18;Flock North->Flocking->Flock East->Rendezvous;484.667877;VALID;COMPLETE;
2017-09-26T14:26:42.697782;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-26T14:26:44.274983;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:26:44.666772;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:26:44.906703;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:26:45.082848;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:26:48.171858;01;;4;Submit Clicked;7,12,15,18;;;;;
2017-09-26T14:26:51.340267;01;;4;Submit Clicked;7,12,15,18;;;;;
2017-09-26T14:26:51.340596;01;;4;Run Clicked;7,12,15,18;;;;;
2017-09-26T14:26:51.447251;01;2;5;Sequence Generated;7,12,15,18;Flock North->Flock East->Rendezvous;453.808746;VALID;COMPLETE;
2017-09-26T14:27:10.154124;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:27:11.073838;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;;
2017-09-26T14:27:12.193872;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:27:18.914115;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-26T14:27:24.003013;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:27:24.178990;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:27:24.419075;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:27:25.770071;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-26T14:27:26.955056;;;;Add button clicked! Item is Flock South;;;;;;
2017-09-26T14:27:29.834034;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:27:34.801915;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:27:39.750675;01;;5;Submit Clicked;5,10,13;s;;;;
2017-09-26T14:27:42.755703;01;;5;Submit Clicked;5,10,13;s;;;;
2017-09-26T14:27:42.756051;01;;5;Run Clicked;5,10,13;s;;;;
2017-09-26T14:27:42.841114;01;2;6;Sequence Generated;5,10,13;Flock South->Flocking->Flock North;252.853775;VALID;INCOMPLETE;
2017-09-26T14:27:52.857888;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:27:54.570732;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:27:54.819038;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:27:56.162111;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:27:57.555082;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:27:58.994078;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:28:00.464130;01;;;Next Clicked;;;;;;
2017-09-26T14:28:13.994109;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:28:16.274091;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:28:19.114875;;;;Add button clicked! Item is Flock North;;;;;;
