TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-30T14:39:00.954607;17;;14;Submit Clicked;2,7,12;w,n,e;;;;
2017-09-30T14:39:02.441051;17;;14;Submit Clicked;2,7,12;w,n,e;;;;
2017-09-30T14:39:02.441389;17;;14;Run Clicked;2,7,12;w,n,e;;;;
2017-09-30T14:39:06.480849;17;0;15;Sequence Generated;2,7,12;Flock West->Flock North->Flock East;349.089142;VALID;INCOMPLETE;
2017-09-30T14:39:10.591080;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:11.679231;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:12.111066;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:13.712971;17;;15;Submit Clicked;2,7,13;w,n,e;;;;
2017-09-30T14:39:15.753131;17;;15;Submit Clicked;2,7,13;w,n,e;;;;
2017-09-30T14:39:15.753467;17;;15;Run Clicked;2,7,13;w,n,e;;;;
2017-09-30T14:39:19.793383;17;0;16;Sequence Generated;2,7,13;Flock West->Flock North->Flock East;388.545349;VALID;INCOMPLETE;
2017-09-30T14:39:23.455133;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:25.513062;17;;16;Submit Clicked;2,7,14;w,n,e;;;;
2017-09-30T14:39:26.738255;17;;16;Submit Clicked;2,7,14;w,n,e;;;;
2017-09-30T14:39:26.738584;17;;16;Run Clicked;2,7,14;w,n,e;;;;
2017-09-30T14:39:30.768845;17;0;17;Sequence Generated;2,7,14;Flock West->Flock North->Flock East;428.004852;VALID;INCOMPLETE;
2017-09-30T14:39:32.262883;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:39:33.599199;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:39:34.609282;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:39:37.559167;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:39:37.983090;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:39:39.193671;17;;17;Submit Clicked;2,7,14,16;w,n,e,r;;;;
2017-09-30T14:39:40.480995;17;;17;Submit Clicked;2,7,14,16;w,n,e,r;;;;
2017-09-30T14:39:40.481370;17;;17;Run Clicked;2,7,14,16;w,n,e,r;;;;
2017-09-30T14:39:45.520875;17;0;18;Sequence Generated;2,7,14,16;Flock West->Flock North->Flock East->Rendezvous;504.820770;VALID;INCOMPLETE;
2017-09-30T14:39:56.455207;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:56.895250;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:39:59.199227;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:40:00.417354;17;;18;Submit Clicked;2,7,13,16;w,n,e,r;;;;
2017-09-30T14:40:01.713309;17;;18;Submit Clicked;2,7,13,16;w,n,e,r;;;;
2017-09-30T14:40:01.713640;17;;18;Run Clicked;2,7,13,16;w,n,e,r;;;;
