TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-27T15:11:11.549472;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:13.300908;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:11:14.165794;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:11:16.556676;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:11:17.412865;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:18.301155;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:19.316491;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:11:24.517062;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:25.052263;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:11:26.444269;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-27T15:11:27.341244;;;;Add button clicked! Item is Flock West;;;;;
2017-09-27T15:11:28.259988;5;;2;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,w;;;
2017-09-27T15:11:30.303710;5;;2;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,w;;;
2017-09-27T15:11:30.303987;5;;2;Run Clicked;3,7,12,18,22,26,32,39,47;n,r,r,w;;;
2017-09-27T15:11:30.334487;5;9;3;Sequence Generated;3,7,12,18,22,26,32,39,47;Flock North->Rendezvous->Rendezvous->Flock West;100000;INVALID;INCOMPLETE
2017-09-27T15:11:39.516229;;;;Sequence table clicked! Item is Flock West;;;;;
2017-09-27T15:11:40.580769;;;;Delete button clicked! Item is Flock West;;;;;
2017-09-27T15:11:42.203838;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-27T15:11:43.364752;;;;Add button clicked! Item is Flocking;;;;;
2017-09-27T15:11:44.115844;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:11:44.835750;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-27T15:11:45.764239;;;;Add button clicked! Item is Flock West;;;;;
2017-09-27T15:11:48.051733;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:11:48.627687;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:49.373463;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:50.476444;5;;3;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,i,w,r;;;
2017-09-27T15:11:54.886390;5;;3;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,i,w,r;;;
2017-09-27T15:11:54.886716;5;;3;Run Clicked;3,7,12,18,22,26,32,39,47;n,r,r,i,w,r;;;
2017-09-27T15:11:54.946057;5;9;4;Sequence Generated;3,7,12,18,22,26,32,39,47;Flock North->Rendezvous->Rendezvous->Flocking->Flock West->Rendezvous;100000;INVALID;INCOMPLETE
2017-09-27T15:12:06.723613;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:08.482775;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:12:09.106681;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:12:09.499824;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:10.594714;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:12.075635;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:12.491722;;;;Delete button clicked! Item is Flocking;;;;;
2017-09-27T15:12:12.803741;;;;Delete button clicked! Item is Flock West;;;;;
2017-09-27T15:12:16.498595;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-27T15:12:17.683639;;;;Add button clicked! Item is Flock West;;;;;
2017-09-27T15:12:18.684293;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-27T15:12:20.085816;5;;4;Submit Clicked;3,7,10,16,20,24,30,37,45;n,r,w;;;
2017-09-27T15:12:20.997603;5;;4;Submit Clicked;3,7,10,16,20,24,30,37,45;n,r,w;;;
2017-09-27T15:12:20.997887;5;;4;Run Clicked;3,7,10,16,20,24,30,37,45;n,r,w;;;
2017-09-27T15:12:21.032552;5;9;5;Sequence Generated;3,7,10,16,20,24,30,37,45;Flock North->Rendezvous->Flock West;100000;INVALID;INCOMPLETE
2017-09-27T15:12:27.474187;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-27T15:12:29.236905;5;;5;Submit Clicked;2,6,9,15,19,23,29,36,44;n,r,w;;;
2017-09-27T15:12:30.687417;5;;5;Submit Clicked;2,6,9,15,19,23,29,36,44;n,r,w;;;
2017-09-27T15:12:30.687804;5;;5;Run Clicked;2,6,9,15,19,23,29,36,44;n,r,w;;;
2017-09-27T15:12:30.821130;5;9;6;Sequence Generated;2,6,9,15,19,23,29,36,44;Flock North->Rendezvous->Flock West->Rendezvous->Rendezvous->Flock North;299.30896;VALID;INCOMPLETE
2017-09-27T15:12:36.961670;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:38.665617;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:12:40.251725;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;
2017-09-27T15:12:42.657469;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:12:45.298470;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:12:46.417573;;;;Behavior table clicked! Item is Flocking;;;;;
2017-09-27T15:12:47.714421;;;;Add button clicked! Item is Flocking;;;;;
2017-09-27T15:12:48.313308;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:12:49.201417;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:12:49.874459;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:12:50.545263;;;;Sequence table clicked! Item is Duration for (row,col) (6,1);;;;;
2017-09-27T15:12:54.369314;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:12:55.385223;;;;Behavior table clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:56.913958;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:12:57.561199;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;
2017-09-27T15:12:59.183757;5;;6;Submit Clicked;2,6,9,15,19,23,33,38,46;n,r,w,r,r,i,n,r;;;
